Competition,Year,Class,Source File,School,Car Number,Overall Place,Total Score Raw,Total Penalty,Total Score,Country,Number of Cylinders,Number of Motors,Engine Displacement (cc),Tractive System Voltage (V),Weight (kg),Weight (lbs),Design Status (Final or Blank),Design Raw Score,Design Document Penalty,Design Late Penalty,Design Score,Presentation Status (Final or Blank or RFP),Presentation Raw Score,Presentation Penalty,Presentation Score,Cost Adjusted Cost,Cost Price Score,Cost Accuracy Score,Cost Engineering Drawings Score,Cost Scenario Score,Cost Penalty,Cost Score,Acceleration Number of Runs,Acceleration Best Time Raw,Acceleration Best Time Cones,Acceleration Best Adjusted Time,Acceleration Penalty,Acceleration Score,Skidpad Number of Runs,Skidpad Best Time Raw Left,Skidpad Best Time Raw Right,Skidpad Best Time Raw Average,Skidpad Best Time Cones,Skidpad Best Adjusted Time,Skidpad Penalty,Skidpad Score,Autocross Number of Runs,Autocross Best Time Raw,Autocross Best Time Cones,Autocross Best Time Off Course,Autocross Best Adjusted Time,Autocross Penalty,Autocross Score,Endurance Number of Laps,Endurance Time Raw,Endurance Cones,Endurance Off Course,Endurance Other Penalty,Endurance Time Adjusted,Endurance Time Score,Endurance Lap Score,Endurance Score,Efficiency Time Average Adjusted,Efficiency Laps Completed,Efficiency Fuel Used (ltr),Efficiency Energy Used (kWh),Efficiency Adjusted CO2 (kg),Efficiency Average Adjusted CO2 per Lap (kg),"Efficiency Fuel Type (E85/93/100/EV, etc.)",Efficiency Fuel Efficiency Factor,Efficiency Score,Endurance+Efficiency Score
Formula SAE California,2006,IC,FSAE_California_OldExcel/results_2006.xlsx,Brigham Young Univ,5,34,300.460221,,300.460220731897,,,,,,,,,50,,,50,,67.9463283770728,,67.9463283770728,,,,,,,74.2483815730772,4,4.242,,4.242,,64.0757946946348,4,,,5.2945,,5.2945,,34.2763792255088,4,49.127,,,49.127,,9.91333686160367,,,,,,,,,,,,,,,,,,,0
Formula SAE California,2006,IC,FSAE_California_OldExcel/results_2006.xlsx,University of Texas-San Antonio,19,35,296.298617,,296.298616568361,,,,,,,,,50,,,50,,34.2745248341528,,34.2745248341528,,,,,,,74.154090933373,4,4.504,,4.504,,50.9579474269419,3,,,5.3985,,5.3985,,29.7348828141754,4,45.38,,,45.38,,57.177170559718,,,,,,,,,,,,,,,,,,,0
Formula SAE California,2006,IC,FSAE_California_OldExcel/results_2006.xlsx,Washington State Univ,1,36,276.754802,,276.754802320895,,,,,,,,,30,,,30,,24.7708133063419,,24.7708133063419,,,,,,,67.1776700543013,4,4.808,,4.808,,37.5290280167793,4,,,5.196,,5.196,,38.8315683658988,4,47.811,,,47.811,,25.6690405973522,,,,,,,,,,,,,,,,,,,52.7766819802218
Formula SAE California,2006,IC,FSAE_California_OldExcel/results_2006.xlsx,University of Alberta,15,37,242.695416,,242.695416317233,,,,,,,,,30,,,30,,54.0826308772968,,54.0826308772968,,,,,,,89.8270572336515,4,5.246,,5.246,,20.9174194075651,4,,,5.694,,5.694,,18.1612960578534,4,45.485,1,,47.485,,29.7070127408657,,,,,,,,,,,,,,,,,,,0
Formula SAE California,2006,IC,FSAE_California_OldExcel/results_2006.xlsx,University of Arizona,56,38,232.680057,,232.680057240176,,,,,,,,,30,,,30,,59.8403594019875,,59.8403594019875,,,,,,,90.2643341125037,3,5.666,,5.666,,7.40059230256212,4,,,5.6585,,5.6585,,19.4565188659658,4,47.807,,,47.807,,25.718252557157,,,,,,,,,,,,,,,,,,,0
Formula SAE California,2006,IC,FSAE_California_OldExcel/results_2006.xlsx,University of Texas-Arlington,66,39,229.229351,,229.229350839221,,,,,,,,,120,,,120,,47.1642809665496,,47.1642809665496,,,,,,,62.0650698726713,,,,,,0,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,0
Formula SAE California,2006,IC,FSAE_California_OldExcel/results_2006.xlsx,Middle Tennessee State Univ,46,40,219.71109,,219.711090193874,,,,,,,,,30,,,30,,25.0867103485853,,25.0867103485853,,,,,,,52.072779039498,,,,,,0,2,,,5.8765,,5.8765,,11.8690633662451,4,48.353,,,48.353,,19.0761173039936,,,,,,,,,,,,,,,,,,,81.6064201355522
Formula SAE California,2006,IC,FSAE_California_OldExcel/results_2006.xlsx,University of Calgary,2,41,191.124448,,191.124448323102,,,,,,,,,30,,,30,,27.9223390087274,,27.9223390087274,,,,,,,71.2706380293871,4,4.758,,4.758,,39.6198229184191,4,,,5.789,,5.789,,14.8116483665688,4,54.18,3,,60.18,,7.5,,,,,,,,,,,,,,,,,,,0
Formula SAE California,2006,IC,FSAE_California_OldExcel/results_2006.xlsx,University of British Columbia,31,42,176.161485,,176.161484941682,,,,,,,,,50,,,50,,44.6807188039749,,44.6807188039749,,,,,,,81.4807661377067,,,,,,0,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,0
Formula SAE California,2006,IC,FSAE_California_OldExcel/results_2006.xlsx,Western Washington Univ,22,43,174.915063,,174.915062940063,,,,,,,,,70,,,70,,23.7851547801422,,23.7851547801422,,,,,,,81.129908159921,,,,,,0,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,0
